SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
19,RAC1P,PINCP,LGBM,t-closeness,0.5,0.19149408920787053,0.17108249565181055,0.0034367000532800063,0.12565499959425538,0.03530269171499689,0.7195253829978973,0.7180772366315408,0.7199249258339893,0.7162390073485122,0.7195169149877748,"[[12062  4626]
 [ 4711 11891]]",0.020554047774118595,1.0222228886239764,0.01998937027137576
20,RAC1P,PINCP,LGBM,t-closeness,0.5,0.18998504560544005,0.16001885967979523,-0.00039056136165760424,0.13675982881779258,0.03705361464559909,0.7107840192249925,0.7183477650362743,0.693946758605098,0.7445273179309927,0.7110933512090825,"[[11384  5415]
 [ 4213 12278]]",0.02136689426214883,1.1165209063438313,0.020765799884182076
21,RAC1P,PINCP,LGBM,t-closeness,0.5,0.15977831324552566,0.12074760754033964,-0.002861954197816874,0.09939920661690305,0.06341379500701616,0.7157705016521478,0.7168422312664592,0.7076932167336327,0.7262308998302207,0.7158657773350412,"[[11851  4947]
 [ 4515 11977]]",0.02182137717697975,1.0330658406134017,0.021146307723382756
22,RAC1P,PINCP,LGBM,t-closeness,0.5,0.213476821545442,0.18401361118665205,0.002248882743557168,0.15082615100897148,0.03159054225676372,0.7198558125563232,0.7281366604477612,0.7109757486052601,0.7461464930099175,0.7197080942574962,"[[11475  5077]
 [ 4249 12489]]",0.020960567720637716,1.1433093295514434,0.02042594278913035
23,RAC1P,PINCP,LGBM,t-closeness,0.5,0.2238677995711017,0.19272896307936738,-0.00020230134320986526,0.15786600154021221,0.04146453523948879,0.7140883148092521,0.7218585622443016,0.7036404033498547,0.7410451790964181,0.7140526382758755,"[[11421  5202]
 [ 4316 12351]]",0.01985323523575583,1.0246233544593033,0.019286608391348437
24,RAC1P,PINCP,LGBM,t-closeness,0.5,0.13620231399474436,0.09983594717222899,-0.0008828051291478456,0.08472951621892666,0.05323553588634,0.7174526884950435,0.7209067711115067,0.713203780895908,0.7287779710840482,0.717436335280307,"[[11736  4885]
 [ 4521 12148]]",0.020473406495269315,1.0525508363556129,0.019910412932391097
25,RAC1P,PINCP,LGBM,t-closeness,0.5,0.15905616351433588,0.1343261403852426,0.00856829174125684,0.09354894604239117,0.05992160635743482,0.7205767497747071,0.7234675069861466,0.7171568338539518,0.7298902285405795,0.720562179075633,"[[11820  4799]
 [ 4503 12168]]",0.020696132912602458,1.0887342725320903,0.020177685964658357
26,RAC1P,PINCP,LGBM,t-closeness,0.5,0.17331126806520664,0.13781472659269933,-0.00031730462134871296,0.1202798578182104,0.04485300599834685,0.7159206969059778,0.7242776757339864,0.6983582593050714,0.7521952401138496,0.7162061019070768,"[[11412  5365]
 [ 4092 12421]]",0.020954658596187836,1.2686725242785466,0.02039063540207544
27,RAC1P,PINCP,LGBM,t-closeness,0.5,0.15378109331552353,0.1287684975444635,0.006766687116456227,0.09247155652384415,0.05673444111257109,0.7173325322919796,0.7200904277470402,0.7144374926218864,0.725833533221396,0.7173166703063764,"[[11776  4838]
 [ 4572 12104]]",0.021066314593684358,1.0430544638006196,0.020508219967352772
28,RAC1P,PINCP,LGBM,t-closeness,0.5,0.14278160075194163,0.1265237831326398,0.017202645269239425,0.07228445820418694,0.07628084634145293,0.7186242114749174,0.7213446378105013,0.713470252456894,0.7293947780050536,0.7186390736677536,"[[11799  4869]
 [ 4498 12124]]",0.0205271446253547,1.1403539303971206,0.01994903031685303
29,RAC1P,PINCP,LGBM,t-closeness,0.5,0.2081768450812581,0.18805104892959246,0.007952652245177494,0.14151021576663453,0.045693069817626,0.7149294082307,0.7216845562789607,0.6989320608952511,0.7459682308718322,0.7152084545642801,"[[11496  5300]
 [ 4190 12304]]",0.020519734481940898,1.074244625070096,0.019981430234498568
30,RAC1P,PINCP,LGBM,t-closeness,0.5,0.19677758668335965,0.16720665366758658,0.000554281770380638,0.12821835402505943,0.05102700629420487,0.7174526884950435,0.7189050265973342,0.7131930032611918,0.7247092848105079,0.7174735545241061,"[[11856  4837]
 [ 4569 12028]]",0.0203583268667566,1.0863353471367547,0.019815865894524387
31,RAC1P,PINCP,LGBM,t-closeness,0.5,0.33142132759498966,0.2626277806866306,-0.031394106058517,0.31957443599454716,0.001191953411653679,0.6682487233403425,0.7123958333333333,0.6250514097701412,0.8281164860446812,0.6694687241527287,"[[ 8568  8205]
 [ 2839 13678]]",0.0015131356514535347,0.35356845353843686,0.0015004733494244284
