SEED,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,SEX,PINCP,l-diversity,8,2,0.11334551683108793,0.10846614537312882,-0.0698023756272399,0.06090884812179663,0.12066609829546171,0.5955842595373986,0.44116059939396457,0.7073073339544789,0.32054530100132705,0.5944816021521714,"[[14513  2199]
 [11264  5314]]",0.00427863,0.41797590255737305,0.0038467054
0,SEX,PINCP,t-closeness,8,0.45,0.18803026256868682,0.13161619903459232,0.04043889009756341,0.11467422847734382,0.12392129674804919,0.7051066386302193,0.7321930327086232,0.6683599780865581,0.8095065749788877,0.705525187920272,"[[10053  6659]
 [ 3158 13420]]",0.022298712,1.1521072005182722,0.019890884
0,SEX,PINCP,k-anonymity,9,9,0.22688417802902777,0.16790186887758185,0.025901616743583045,0.12294514048420951,0.08335842468200727,0.7578852508260739,0.7621015348288076,0.7461565136978384,0.7787429122934009,0.7579688711778158,"[[12320  4392]
 [ 3668 12910]]",0.1889367,2.9686810970306396,0.111835
0,SEX,PINCP,l-diversity,9,2,0.11334551683108793,0.10846614537312882,-0.0698023756272399,0.06090884812179663,0.12066609829546171,0.5955842595373986,0.44116059939396457,0.7073073339544789,0.32054530100132705,0.5944816021521714,"[[14513  2199]
 [11264  5314]]",0.0043272013,0.48029232025146484,0.0038947016
0,SEX,PINCP,t-closeness,9,0.45,0.18372034408853077,0.12656122800525504,0.040496275613459254,0.11081454701440596,0.12481025009274294,0.7051366776809853,0.7326214861625626,0.6679249031489024,0.8111955603812281,0.7055618778449941,"[[10026  6686]
 [ 3130 13448]]",0.02254814,1.2648552251921106,0.020118548
0,SEX,PINCP,k-anonymity,10,10,0.22242117362900854,0.16211270830563607,0.024548730778818473,0.11930794383057514,0.08384970053796703,0.7581856413337339,0.7621158392434988,0.7470165681844514,0.7778380986850042,0.7582644299073655,"[[12345  4367]
 [ 3683 12895]]",0.18883175,2.9405500888824463,0.11222052
0,SEX,PINCP,l-diversity,10,2,0.11334551683108793,0.10846614537312882,-0.0698023756272399,0.06090884812179663,0.12066609829546171,0.5955842595373986,0.44116059939396457,0.7073073339544789,0.32054530100132705,0.5944816021521714,"[[14513  2199]
 [11264  5314]]",0.004577816,0.5254379510879517,0.004117666
0,SEX,PINCP,t-closeness,10,0.45,0.008818117953019566,-0.04927824267670744,0.014245845800864743,-0.0623885841876432,0.1710741944881562,0.6897566836887954,0.6951053905650352,0.6806776133209991,0.7101580407769332,0.6898384746728132,"[[11189  5523]
 [ 4805 11773]]",0.02100423,1.1017572677292036,0.018692037
0,SEX,PINCP,k-anonymity,25,25,0.24770629398434835,0.18258572073555246,0.019428354024241035,0.1531704920587987,0.06903566000416006,0.7543706818864524,0.7597332001292862,0.7406473789745058,0.7798286886234769,0.7544727454606135,"[[12185  4527]
 [ 3650 12928]]",0.13895708,2.7727221408315232,0.093236074
0,SEX,PINCP,l-diversity,25,2,0.18002633598718915,0.13815615797799452,0.029978122604053414,0.0848645615007585,0.12349910909115025,0.7164613998197656,0.7209130421927205,0.707011540915154,0.7353721799975872,0.7165372149389564,"[[11660  5052]
 [ 4387 12191]]",0.035692472,1.2575987577438354,0.03191683
0,SEX,PINCP,t-closeness,25,0.45,0.012849580669016203,-0.048231764447702274,0.013722843237876647,-0.05472388372829978,0.1666506026200928,0.6889155902673475,0.696767392832045,0.6770228747012632,0.7176981541802389,0.6890309823079269,"[[11036  5676]
 [ 4680 11898]]",0.020815177,1.325343897714782,0.018467635
0,SEX,PINCP,k-anonymity,50,50,0.23246275627928642,0.16658873430002408,0.017886715145996823,0.1401227661183642,0.0758905166370959,0.7509161910483628,0.7560746014002471,0.7378847037207166,0.7751839787670407,0.7510134829210982,"[[12147  4565]
 [ 3727 12851]]",0.11590468,2.7075470478450407,0.08105528
0,SEX,PINCP,l-diversity,50,2,0.22691789165788234,0.16873847190569324,0.02284713303062258,0.151472977704817,0.09861281936715127,0.7141784319615501,0.7277928765555715,0.6921695597758067,0.7672819399203764,0.7143913289836443,"[[11055  5657]
 [ 3858 12720]]",0.03432589,1.1164413290933948,0.030667096
0,SEX,PINCP,t-closeness,50,0.45,0.021056092880381905,-0.03261214463492812,-0.002872878667572576,-0.06096521016541753,0.17330301106270563,0.7008410934214478,0.683227838035561,0.722696992127044,0.6478465436120159,0.7006286332229538,"[[12591  4121]
 [ 5838 10740]]",0.030427871,1.0105642857144255,0.027049929
0,SEX,PINCP,k-anonymity,75,75,0.24983203233452433,0.18399586978537874,0.013461852001625862,0.16295463777908561,0.06645835767369901,0.7441874436767798,0.7484640831758034,0.7333024655631439,0.7642658945590541,0.744267940099058,"[[12104  4608]
 [ 3908 12670]]",0.07011582,2.391310453414917,0.057522465
0,SEX,PINCP,l-diversity,75,2,0.24547956667597914,0.18027418049880384,0.008201100667506678,0.15892780218317215,0.062109379536517184,0.742505256833884,0.7426444097514111,0.7392707710699342,0.7460489805766679,0.7425194639599473,"[[12350  4362]
 [ 4210 12368]]",0.045687504,2.056843232584409,0.04010508
0,SEX,PINCP,t-closeness,75,0.45,0.17145505822792256,0.12985602921152883,0.03014074383782872,0.0745742759129761,0.12665352701011445,0.7179333133072995,0.721546764723326,0.709636024265049,0.733864157316926,0.7179971815785204,"[[11734  4978]
 [ 4412 12166]]",0.034298185,1.2132176433949444,0.030612707
0,SEX,PINCP,k-anonymity,100,100,0.25372118157558576,0.1866428656607918,0.01247588028600044,0.16808964121564504,0.06363908932305973,0.7444277560829078,0.7489228589978162,0.7331291888144211,0.7654119917963567,0.74451188388286,"[[12093  4619]
 [ 3889 12689]]",0.070960715,2.057143211364746,0.058045004
0,SEX,PINCP,l-diversity,100,2,0.1659705887510845,0.12197118217205571,0.030405070263543332,0.07080881203120448,0.12798356270941125,0.7183238209672574,0.7236939034092583,0.7074140215450199,0.7407407407407407,0.718413692534085,"[[11633  5079]
 [ 4298 12280]]",0.033608075,1.036312186332134,0.030024994
0,SEX,PINCP,t-closeness,100,0.45,0.1659705887510845,0.12197118217205571,0.030405070263543332,0.07080881203120448,0.12798356270941125,0.7183238209672574,0.7236939034092583,0.7074140215450199,0.7407407407407407,0.718413692534085,"[[11633  5079]
 [ 4298 12280]]",0.033608075,1.036312186332134,0.030024994
1,SEX,PINCP,k-anonymity,1,1,0.19815523082388514,0.09786532942208714,-0.005410822856701802,0.11608099002706807,0.027614699632311557,0.8099429258035447,0.8125833111170354,0.7985561248253377,0.8271121027558342,0.8100066409511498,"[[13247  3460]
 [ 2867 13716]]",4.2335076,0.8917956033156339,0.22561225
1,SEX,PINCP,l-diversity,1,2,0.19815523082388514,0.09786532942208714,-0.005410822856701802,0.11608099002706807,0.027614699632311557,0.8099429258035447,0.8125833111170354,0.7985561248253377,0.8271121027558342,0.8100066409511498,"[[13247  3460]
 [ 2867 13716]]",4.2335076,0.8917956033156339,0.22561225
0,SEX,PINCP,t-closeness,1,0.5,0.21608757649014676,0.1092345591691205,-0.0021668096529672276,0.1239002592290849,0.03831508219844626,0.8079303094022229,0.8114309307538045,0.7938257357184074,0.8298347207141995,0.8080181262738062,"[[13139  3573]
 [ 2821 13757]]",4.159372,0.5924115211443634,0.22376125
