SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
13,SEX,PINCP,t-closeness,0.5,15000,0.00282164167691068,0.003996223934486065,0.08237419526105438,-0.013996014098333842,0.082241291897449,0.7944427756082908,0.8843247629190121,0.8002263896962095,0.9881752927842841,0.5153486434595906,"[[  290  6530]
 [  313 26157]]",0.014160923,1.2095245122909546,0.012731254
14,SEX,PINCP,t-closeness,0.5,15000,-0.010064745558355903,-0.013269837618934632,0.06087943390157846,-0.1494746893399384,0.09070901206250026,0.8202463202162812,0.8903828540025646,0.8627569313784657,0.9198364936981946,0.6785090169757533,"[[ 3003  3866]
 [ 2118 24303]]",0.022891777,1.8866296637241862,0.020621765
15,SEX,PINCP,t-closeness,0.5,15000,0.0017152468405212673,0.0010668444588753934,0.07997982518503377,-0.009391607080678988,0.08176407492672799,0.7993691799339141,0.887397791452415,0.8045119677192554,0.9893241109691001,0.5165669597907702,"[[  293  6395]
 [  284 26318]]",0.014122868,1.7346864938735962,0.012721233
16,SEX,PINCP,t-closeness,0.5,15000,-0.0057050283844739536,-0.009459299747352934,0.05623287247078945,-0.13033160727640142,0.08165901007385679,0.821357765094623,0.8912777198851899,0.8644278165892407,0.9198490566037736,0.678407591630311,"[[ 2967  3823]
 [ 2124 24376]]",0.022724034,1.3685105313722457,0.020464318
17,SEX,PINCP,t-closeness,0.5,15000,0.009812659675329849,0.007169376278584716,0.08950430987689162,0.007562433323395901,0.08780827624138066,0.7976569540402523,0.8864693588619968,0.8013041226119016,0.991890770565383,0.5148327985924155,"[[  256  6521]
 [  215 26298]]",0.014322416,1.500472145472461,0.012862038
18,SEX,PINCP,t-closeness,0.5,15000,0.00225428733591293,-0.01112340170706183,0.04818573518642988,-0.0815304204839089,0.07450852426004562,0.8188344848302793,0.8900074775218398,0.8596998097385667,0.9225301523687096,0.6702257544477666,"[[ 2859  3982]
 [ 2049 24400]]",0.022091568,2.0527570305138783,0.019881897
19,SEX,PINCP,t-closeness,0.5,15000,-0.005588594291586313,-0.011480126247652711,0.05845791897462704,-0.13349177346289215,0.08732577521149731,0.8188645238810454,0.8894632644082711,0.8630736392742796,0.9175175856591786,0.6777278348856641,"[[ 2999  3849]
 [ 2181 24261]]",0.024061225,1.947091340961792,0.021418225
20,SEX,PINCP,t-closeness,0.5,15000,-0.007163712335559569,-0.009647327570407538,0.058278845562322656,-0.1308444193422026,0.08387811703967085,0.8161910483628717,0.8881495969437183,0.8590827115527423,0.9192523081580142,0.6692589142072496,"[[ 2877  3985]
 [ 2134 24294]]",0.023745945,1.9968269824281637,0.021155365
21,SEX,PINCP,t-closeness,0.5,15000,0.003705182337365387,0.0011797431756794818,0.07939323092403028,-0.002966862341050591,0.08171786692244465,0.793301291679183,0.8833353113714586,0.79800269574807,0.9891027831567757,0.5203675860268274,"[[  359  6594]
 [  287 26050]]",0.014387293,1.1469381424295022,0.01285763
22,SEX,PINCP,t-closeness,0.5,15000,-0.0016091721333969522,-4.0773103698321655e-05,0.08302882244712628,-0.022178340515470407,0.08518354388954197,0.7981375788525082,0.8866090712742981,0.8034987919380983,0.9888959987954982,0.516610724371719,"[[  298  6425]
 [  295 26272]]",0.013450382,1.3586668820214354,0.0120332865
23,SEX,PINCP,t-closeness,0.5,15000,-0.0012016616388021983,-0.007583786243263058,0.056686063576243284,-0.11035821016386127,0.08159892400428148,0.813848002403124,0.8865246928274524,0.8577958894401134,0.9172445151756281,0.6677830055222973,"[[ 2886  4013]
 [ 2184 24207]]",0.022563705,1.545697465528909,0.020351661
24,SEX,PINCP,t-closeness,0.5,15000,-0.008179792818302056,-0.01242658999490498,0.055375546450358915,-0.13258471336934674,0.08293212894986435,0.821057374586963,0.8913570790246393,0.8642617152961981,0.9202063563789727,0.6751313932177014,"[[ 2896  3838]
 [ 2119 24437]]",0.023513462,2.087968349456787,0.021118885
25,SEX,PINCP,t-closeness,0.5,15000,-0.004146919277205896,-0.010870008157363165,0.057128837576379765,-0.127162133079956,0.08483859104998814,0.8205467107239411,0.8908738857226363,0.8641034727143869,0.9193560548936812,0.6762757218009642,"[[ 2931  3835]
 [ 2139 24385]]",0.022854643,2.0070454015559327,0.020589907
26,SEX,PINCP,t-closeness,0.5,15000,0.008927747513009399,0.005737473410909799,0.09342223443847297,0.009431836121149728,0.09277494991083257,0.7950135175728447,0.8848814062552718,0.7987513324196741,0.9918314865938055,0.5133686423767918,"[[  239  6608]
 [  216 26227]]",0.013926893,1.8360495567321777,0.012503025
27,SEX,PINCP,t-closeness,0.5,15000,0.0022487576224474726,0.0020007488770811266,0.08136238362882753,-0.01255905058186435,0.08245422827742122,0.7970261339741664,0.8857862443163571,0.8010639273594423,0.9905489187963104,0.5194774427266138,"[[  331  6507]
 [  250 26202]]",0.014672556,1.7529685201046177,0.013178391
28,SEX,PINCP,t-closeness,0.5,15000,0.001992202148819233,0.002134187083165928,0.08679488275182701,-0.013736957601111044,0.08794523512076224,0.7972063682787623,0.8859994258599436,0.8020177315805564,0.9896261646987815,0.5173023907109893,"[[  305  6476]
 [  275 26234]]",0.013694052,1.4733220338821411,0.01221314
29,SEX,PINCP,t-closeness,0.5,15000,-0.003329256332314179,-0.00886009665377796,0.058186107784615526,-0.12177005962966836,0.08489316145817272,0.8136978071492941,0.8864102564102564,0.8597363839840836,0.9147922730881185,0.6686730123667886,"[[ 2889  3948]
 [ 2254 24199]]",0.022457497,1.9009509942607938,0.020193405
30,SEX,PINCP,t-closeness,0.5,15000,0.0021027622016844827,0.003964039665513508,0.0856039338692901,-0.023153233754926728,0.08543754786390079,0.7966656653649745,0.8854013239202939,0.8010844923717909,0.9895553453169347,0.521871627501876,"[[  372  6493]
 [  276 26149]]",0.013857643,1.5161067247390747,0.012383049
31,SEX,PINCP,t-closeness,0.5,15000,-0.01554425504671142,-0.013852006767271496,0.05629649844370754,-0.15055404266369526,0.08417269662617555,0.8161009312105737,0.8878877778998645,0.8604387023496841,0.9171458837772397,0.6719004426176953,"[[ 2926  3932]
 [ 2190 24242]]",0.023405889,1.934041976928711,0.02111053
