SEED,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
6,RAC1P,PINCP,k-anonymity,10,10,0.17198306867803165,0.1492043830287988,0.016527658517308974,0.09218289583978231,0.04829139735134014,0.7562631420847101,0.7593998339461511,0.7497072599531616,0.7693463109829368,0.7562639280494403,"[[12371  4275]
 [ 3839 12805]]",0.10991077,2.1944668734998753,0.08315397
7,RAC1P,PINCP,k-anonymity,10,10,0.14739194088745128,0.11430296219804248,0.009695954542580654,0.07573816768842945,0.05974055808170764,0.7492340042054672,0.751547619047619,0.740745086535641,0.7626698882512836,0.7493062617234906,"[[12316  4419]
 [ 3929 12626]]",0.11717231,4.087323815047449,0.086737655
8,RAC1P,PINCP,k-anonymity,10,10,0.17847174869411125,0.1506703891600324,0.01751275809536945,0.0956690793382004,0.06178342269835935,0.7503154100330429,0.7575545443938864,0.7409985734664765,0.7748672355152455,0.7501460973414351,"[[11992  4539]
 [ 3773 12986]]",0.10888477,2.788482666015625,0.08268549
9,RAC1P,PINCP,k-anonymity,10,10,0.17211964439182037,0.14721343595858027,0.01190430792906938,0.10616513771241254,0.03600069957019969,0.7458095524181436,0.752688800561141,0.733147346845821,0.7733005044439106,0.7457979863246118,"[[11951  4687]
 [ 3775 12877]]",0.11221159,1.8882669844951372,0.08588691
10,RAC1P,PINCP,k-anonymity,10,10,0.1558412854708796,0.12215339716151519,0.009477246584560395,0.07851412753835918,0.061208639856946356,0.7525382997897266,0.7532794249775382,0.747015147015147,0.7596496526729085,0.7525765442928332,"[[12476  4259]
 [ 3979 12576]]",0.11363687,3.6635865902162803,0.085698575
11,RAC1P,PINCP,k-anonymity,10,10,0.16715845998235024,0.14779475989769142,0.01856997281176831,0.0852971376417179,0.058741048250152916,0.7547011114448784,0.7558452430783951,0.7394407394407394,0.7729941291585127,0.7550175510593603,"[[12484  4454]
 [ 3712 12640]]",0.11373985,2.9241635960893544,0.0855527
12,RAC1P,PINCP,k-anonymity,10,10,0.16768063485445406,0.14622439962620404,0.015366672906580003,0.08910663823310633,0.057030997820284646,0.7478221688194653,0.7493206724596136,0.7374081692624155,0.7616243778074542,0.747962521919902,"[[12348  4468]
 [ 3927 12547]]",0.110307686,2.638055576745866,0.08356055
13,RAC1P,PINCP,k-anonymity,10,10,0.18819500016532464,0.1591837103263809,0.008659389571321507,0.11535793559037744,0.029599155350056527,0.7527485731450886,0.756659275683666,0.7473573556035742,0.7661956651897976,0.7527023659925357,"[[12262  4326]
 [ 3905 12797]]",0.11069929,3.065777248315269,0.083413854
14,RAC1P,PINCP,k-anonymity,10,10,0.16350139978929118,0.13862107596916373,0.022552729853573927,0.07137518386940889,0.08746665569742273,0.750075097626915,0.754151645883813,0.740712793127467,0.7680871554110991,0.7501085813035346,"[[12209  4467]
 [ 3853 12761]]",0.11426573,3.2565078931354434,0.084789164
15,RAC1P,PINCP,k-anonymity,10,10,0.16261726686383388,0.1279700041094083,0.010396170230270507,0.08821786302761497,0.054877387544646106,0.7523881045358967,0.7579219406184841,0.74421823634581,0.7721397797989469,0.7523082781248324,"[[12143  4435]
 [ 3808 12904]]",0.109826185,2.686102867126465,0.08387166
16,RAC1P,PINCP,k-anonymity,10,10,0.17470651189186864,0.14481630431247017,0.011825728079764786,0.0977266512766905,0.05261398195210554,0.7492039651547011,0.7538257408226449,0.7410864397936112,0.7670106804272171,0.7491814711087,"[[12158  4466]
 [ 3883 12783]]",0.113298126,2.3431054822599062,0.085338555
17,RAC1P,PINCP,k-anonymity,10,10,0.1825620377993601,0.1586562908550445,0.013669727436376067,0.10836491322379221,0.03903522767159129,0.7515169720636828,0.756261417879663,0.738845068800737,0.7745186794616452,0.7516215190263194,"[[12185  4536]
 [ 3736 12833]]",0.11531752,2.751861810684204,0.087156
18,RAC1P,PINCP,k-anonymity,10,10,0.17143254394823937,0.15813274168092084,0.02321001931986799,0.08897954761702889,0.05661280836597238,0.7486933012916792,0.7527923881567283,0.7420050096114639,0.7638980509745128,0.7486658476359173,"[[12186  4429]
 [ 3937 12738]]",0.108623825,2.006251811981201,0.08296058
19,RAC1P,PINCP,k-anonymity,10,10,0.1913959761844808,0.16675362718534892,0.009250326636907169,0.11772044877156906,0.030738387250523913,0.7484229498347852,0.750914552538441,0.7416720521708478,0.7603903144199494,0.7484537861649123,"[[12291  4397]
 [ 3978 12624]]",0.11094069,2.3964977264404297,0.08383947
20,RAC1P,PINCP,k-anonymity,10,10,0.18035042994646466,0.1628798829042838,0.015564703680175596,0.10432533788706702,0.044427241349669466,0.7457795133673776,0.7483122676579925,0.7342710400373527,0.7629009762900977,0.7459364694534601,"[[12246  4553]
 [ 3910 12581]]",0.11461396,2.284381780001258,0.084730566
21,RAC1P,PINCP,k-anonymity,10,10,0.17717448649423884,0.14181992609209126,0.006609661645176623,0.09840340817433899,0.051747173204663044,0.7531090417542806,0.7539589881754228,0.7445751788565009,0.7635823429541596,0.7532044349608279,"[[12478  4320]
 [ 3899 12593]]",0.11334016,2.948958049194031,0.085274644
22,RAC1P,PINCP,k-anonymity,10,10,0.19463984976691845,0.1658782048095725,0.0106108794613472,0.11831260860905907,0.0352536595757631,0.7514568939621508,0.7569473003936315,0.7445677300046232,0.7697454893057712,0.7513541366296861,"[[12132  4420]
 [ 3854 12884]]",0.10938947,2.367634620650698,0.08276138
23,RAC1P,PINCP,k-anonymity,10,10,0.16223129058235974,0.12700361123541715,0.011290176023521337,0.08227266263110339,0.06687136640667368,0.750435566236107,0.7542157268800662,0.7439159614823461,0.7648047039059219,0.7504165491496162,"[[12235  4388]
 [ 3920 12747]]",0.11495155,3.107355568081872,0.08549393
24,RAC1P,PINCP,k-anonymity,10,10,0.18725381998020324,0.15100234183312367,0.0008832020405862284,0.12406172323976591,0.018350586826033743,0.750105136677681,0.7545221163209301,0.7424506387921022,0.7669926210330553,0.7500807518858797,"[[12186  4435]
 [ 3884 12785]]",0.11374537,2.737692356109619,0.085220344
