SEED,protected_att,target,method,anon_parameter,fraction,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
30,RAC1P,PINCP,k-anonymity,10,0.8,0.16433919781820605,0.13030663958071076,0.010149601216098647,0.08898501695380767,0.042737107150704334,0.7656465905677381,0.7687747987388996,0.7564633488385657,0.7814936165405039,0.7656934594626446,"[[100152  33403]
 [ 29010 103755]]",0.086251765,2.2112291874809435,0.06524957
31,RAC1P,PINCP,k-anonymity,10,0.8,0.166586832910453,0.1321674087039424,0.011484297619826722,0.088957709768434,0.04747050293770372,0.7648017422649445,0.7688941690402752,0.7546550787615426,0.7836809289942164,0.7648299140280734,"[[ 99483  33876]
 [ 28762 104199]]",0.086363114,2.2302908269274027,0.06559242
43,SEX,PINCP,l-diversity,2,0.6,0.18547886455989981,0.12338304485993568,0.03200792684141174,0.1201601282938477,0.11157892336696373,0.7077751076399319,0.7338868144743981,0.6707027441437988,0.8102136141255109,0.7083178984752772,"[[60886 39516]
 [18853 80485]]",0.0068903835,1.118850827217102,0.0066818497
32,RAC1P,PINCP,k-anonymity,10,0.8,0.16437797952232797,0.12779108657233373,0.009202709874665427,0.09006262865933198,0.043514164748215345,0.7654475818564134,0.7693943398873293,0.7540231548480463,0.7854052668867484,0.7655195622531795,"[[ 99648  33994]
 [ 28472 104206]]",0.086201034,2.1724912967353958,0.06523968
44,SEX,PINCP,l-diversity,2,0.6,0.1817033089072303,0.12038470303519389,0.02964395585294899,0.12070068811610118,0.10644874080193911,0.7057875237809151,0.7323903896245832,0.6681928091269412,0.8102348638273433,0.7064329726088583,"[[60559 39932]
 [18834 80415]]",0.0068801558,1.2997004063816018,0.0066702263
33,RAC1P,PINCP,k-anonymity,10,0.8,0.16683672760452378,0.12881947643049418,0.005671824409373416,0.09627624561257381,0.03377710671211953,0.7656127966356263,0.7687577331426751,0.7561084027428605,0.7818374989639297,0.7656670785365802,"[[100138  33469]
 [ 28953 103760]]",0.08706327,2.4162447056759193,0.0657869
34,RAC1P,PINCP,k-anonymity,10,0.8,0.1627413308179908,0.12712653494552517,0.01082101939587865,0.08603381923091688,0.04803806405039235,0.7655189246019826,0.7694057435314189,0.7554274526865347,0.7839110903769028,0.765554903610289,"[[ 99692  33729]
 [ 28718 104181]]",0.08636675,2.200729052251624,0.065356866
35,RAC1P,PINCP,k-anonymity,10,0.8,0.16449532581747978,0.12768674689910342,0.009189437212246077,0.09072668001854428,0.043184581196987315,0.7652185340943226,0.7695528306963133,0.7531941909372272,0.7866378336020736,0.7652893962848769,"[[ 99392  34210]
 [ 28317 104401]]",0.08844725,2.8439950942993164,0.06651704
36,RAC1P,PINCP,k-anonymity,10,0.8,0.16056550886680515,0.12125195577745307,0.007763090185746169,0.08591758451696493,0.04630631367049198,0.7661384800240313,0.7692934561160459,0.7559697146185207,0.783095277597623,0.7662092400791178,"[[100198  33520]
 [ 28762 103840]]",0.08805347,2.7859505972838905,0.06631307
37,RAC1P,PINCP,k-anonymity,10,0.8,0.16056113893617202,0.12787088943378278,0.012094802547012784,0.08521335483458156,0.046335872407432754,0.7653950135175729,0.7692455422434298,0.7538928181035044,0.7852365692742695,0.7654744123906034,"[[ 99698  33997]
 [ 28483 104142]]",0.08721602,2.283311939235382,0.065949306
49,SEX,PINCP,l-diversity,2,0.6,0.4794552823452551,0.5558075505163635,0.0737443607671564,0.3216267110932413,0.061853197598565224,0.6698708320817062,0.6303521576805354,0.7124139940952116,0.5652427438245851,0.6694503288598257,"[[77577 22696]
 [43244 56223]]",0.0037771638,1.4204398393630981,0.0037035595
38,RAC1P,PINCP,k-anonymity,10,0.8,0.1634864090635491,0.13098708479707166,0.012722365944927927,0.0870961779855865,0.04554076777182381,0.7661797837188344,0.7705775075987842,0.7554394937586685,0.7863346191152918,0.7662050288493123,"[[ 99472  33855]
 [ 28416 104577]]",0.086822115,2.5586276283356235,0.0657028
39,RAC1P,PINCP,k-anonymity,10,0.8,0.16162763987810097,0.1211479993848178,0.008131987746654246,0.08640395277785168,0.048307710373240886,0.766442625413037,0.7703209178153513,0.7541118718325032,0.787242071578439,0.7665455175635166,"[[ 99811  34011]
 [ 28190 104308]]",0.086964965,2.636730432510376,0.06566475
52,SEX,PINCP,l-diversity,2,0.6,0.18256378780869886,0.12400693653455985,0.03251281518301241,0.11816986423415382,0.10898940968227344,0.7062781616100932,0.7329971601252457,0.6714806260370719,0.8069219130452209,0.7063496608581683,"[[60542 39399]
 [19269 80530]]",0.006947861,1.7395522594451904,0.006732273
0,RAC1P,PINCP,k-anonymity,10,0.9,0.16406871474503498,0.1259935005573386,0.009814080789536828,0.08790898967098254,0.04649056671692897,0.7668902907112579,0.7713950915506328,0.7564111616800293,0.7869846591554187,0.7669002119361451,"[[111932  37947]
 [ 31895 117836]]",0.08530919,2.39882755279541,0.064118214
1,RAC1P,PINCP,k-anonymity,10,0.9,0.16649868004713492,0.1334948346064918,0.012198394020572212,0.08834218076298789,0.04755474588211028,0.7646507125930376,0.7684720329661309,0.7552568057724826,0.7821579675562953,0.7646731223275853,"[[112076  37921]
 [ 32592 117021]]",0.08218419,2.1392035484313965,0.0626463
2,RAC1P,PINCP,k-anonymity,10,0.9,0.1628574864238247,0.13003463778810598,0.01160654497125524,0.08687636960312348,0.04548252359910898,0.7656253129067788,0.7690243044020275,0.7544791532206016,0.7841412942131353,0.7657146141299715,"[[112490  38041]
 [ 32180 116899]]",0.07995685,2.522407054901123,0.060999773
3,RAC1P,PINCP,k-anonymity,10,0.9,0.1654233268184757,0.12708222688928894,0.008602945452776845,0.08952556616982182,0.04474064680060563,0.7664931077066853,0.7702181188765941,0.7567883305902475,0.7841331621325202,0.7665251959198695,"[[112396  37682]
 [ 32279 117253]]",0.079569995,2.7655858993530273,0.060546894
4,RAC1P,PINCP,k-anonymity,10,0.9,0.1707371042412678,0.13374775905748493,0.008375979115642473,0.09580771688907791,0.03931063073043173,0.766970394846634,0.7706282770674272,0.7549483441150913,0.7869733548945536,0.767072948923,"[[112507  38070]
 [ 31748 117285]]",0.08291527,2.622990741049539,0.06341612
