SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
27,race,v_decile_score,l-diversity,2.0,2,-0.1829290206648697,-0.028409358376877,-0.0245283018867925,-0.1705998033431662,-0.1215897817460317,0.7481060606060606,0.8089080459770115,0.7407894736842106,0.8908227848101266,0.7131000716503464,"[[227 197]
 [ 69 563]]",0.07221863,1.8164570331573489,0.05927602
28,race,v_decile_score,l-diversity,2.0,2,-0.2119074784773363,-0.0790481287825765,-0.0694800480092462,-0.1321428571428571,-0.1362635000805975,0.7897727272727273,0.8447552447552448,0.7926509186351706,0.9041916167664672,0.7484875609605532,"[[230 158]
 [ 64 604]]",0.21288177,1.9900966882705688,0.1001502
29,race,v_decile_score,l-diversity,2.0,2,-0.1660780598711633,-0.0311257069877759,-0.025403561955286,-0.1573036116171899,-0.1139618919939285,0.7348484848484849,0.7985611510791367,0.7245430809399478,0.8894230769230769,0.7004985754985755,"[[221 211]
 [ 69 555]]",0.20279008,1.9335429668426516,0.09430883
30,race,v_decile_score,l-diversity,2.0,2,-0.8108747044917257,-0.7570621468926554,-0.1135760142516217,-0.8495934959349594,-0.1718206951026856,0.6638257575757576,0.7348767737117252,0.6900420757363254,0.7859424920127795,0.6359945018203432,"[[209 221]
 [134 492]]",0.018932838,0.1865553331336192,0.013926604
31,race,v_decile_score,l-diversity,2.0,2,-0.2712121212121212,-0.0860713173466209,-0.0212121212121212,-0.263237453571737,-0.1255067683639112,0.7481060606060606,0.8072463768115942,0.7377483443708609,0.8912,0.7159016241299304,"[[233 198]
 [ 68 557]]",0.19141495,1.641737690943127,0.09113081
32,race,v_decile_score,l-diversity,2.0,2,-0.1647227644500062,0.0005545108250156,-0.0301270499020243,-0.1125766802238051,-0.1543092783505154,0.7604166666666666,0.8149231894659839,0.7578231292517007,0.8813291139240507,0.730758896584667,"[[246 178]
 [ 75 557]]",0.084122464,2.217787981033325,0.06980961
33,race,v_decile_score,l-diversity,2.0,2,-1.0,-1.0,-0.1681414619709973,-1.0,-0.7048387096774194,0.6354166666666666,0.6942017474185862,0.7048387096774194,0.6838810641627543,0.6225160716497224,"[[234 183]
 [202 437]]",0.022952443,0.1662951856851577,0.01611918
34,race,v_decile_score,l-diversity,2.0,2,-0.2487179487179487,-0.1263736263736263,-0.0619542619542619,-0.2126093693036821,-0.1212660028449501,0.7518939393939394,0.8154929577464789,0.7394636015325671,0.9089481946624804,0.7110373431546292,"[[215 204]
 [ 58 579]]",0.20204833,2.051102638244629,0.102442384
35,race,v_decile_score,l-diversity,2.0,2,-0.280221417926336,-0.1558173974631382,-0.0863104109005747,-0.2112318517858732,-0.167491295583654,0.7509469696969697,0.8130774697938877,0.7380645161290322,0.9050632911392406,0.7131448531167901,"[[221 203]
 [ 60 572]]",0.21244913,2.1374380588531494,0.10327746
36,race,v_decile_score,l-diversity,2.0,2,-0.1855623900597178,-0.0126543285936074,-0.0388670408837799,-0.1676603355761859,-0.139826293100407,0.7585227272727273,0.8197879858657244,0.7304785894206549,0.9339774557165862,0.7210117163640403,"[[221 214]
 [ 41 580]]",0.24834886,2.152862071990967,0.10419854
