SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF
16,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.018673248880503507,0.022588522588522578,0.002676388672161245,0.016096900151406482,0.006349206349206327,0.5804347826086956,0.18220338983050846,0.42574257425742573,0.11590296495956873,0.5051281673613872,"[[491  58]
 [328  43]]",0.0750744977470885
17,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,-0.07515151515151514,0.03396730685561561,0.11424836601307187,-0.14732624441362302,0.09817827840356003,0.525,0.33078101071975496,0.3673469387755102,0.3008356545961003,0.48464242622853143,"[[375 186]
 [251 108]]",0.25520184122330386
18,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,-0.06575990538143109,-0.04871413747651232,0.021951507983441698,-0.07736538042293437,0.029133608378292652,0.5304347826086957,0.3142857142857143,0.39285714285714285,0.2619047619047619,0.4898084695132665,"[[389 153]
 [279  99]]",0.22369095267619465
19,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,0.10759771629336848,0.2064273228452333,0.09046991655687309,0.03739709356432097,0.11635510101433483,0.5521739130434783,0.33116883116883117,0.4434782608695652,0.26424870466321243,0.5122741650656886,"[[406 128]
 [284 102]]",0.6077558971790268
20,ACSIncome_26000,SEX,PINCP,l-diversity,2,10,-0.037039155951580686,-0.024169435215946847,-0.0037949759476711975,-0.04668674698795181,0.133056133056133,0.5782608695652174,0.13004484304932734,0.4603174603174603,0.07571801566579635,0.5062016521531961,"[[503  34]
 [354  29]]",0.06829426086406341
21,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.05736903643786777,0.03876107095591978,0.020384888156255387,0.07217626710783576,-0.14553571428571427,0.5532608695652174,0.17635270541082165,0.43137254901960786,0.11083123425692695,0.4999662863445246,"[[465  58]
 [353  44]]",0.10406642709990134
22,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,0.06971428571428571,0.06750164798945285,0.009523809523809601,0.0706815723043635,-0.025362318840579712,0.5456521739130434,0.21132075471698114,0.4,0.14358974358974358,0.49254958877600385,"[[446  84]
 [334  56]]",0.0792304589410651
23,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,0.04535722254663194,0.0542649250460244,0.022208612839977326,0.03880509199828844,-0.02884692647649656,0.5456521739130434,0.2986577181208054,0.3938053097345133,0.24054054054054055,0.49572481572481575,"[[413 137]
 [281  89]]",0.2603660409175083
24,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,0.422360248447205,0.47029702970297027,-0.016999019287348816,0.3879003558718861,0.46568627450980393,0.5608695652173913,0.31986531986531985,0.46568627450980393,0.24358974358974358,0.5189646831156265,"[[421 109]
 [295  95]]",0.14733771564993406
25,ACSIncome_26000,SEX,PINCP,l-diversity,2,10,-0.019107553120139287,-0.017342095655348666,0.0009846311914036843,-0.020223052197337416,0.010109289617486306,0.575,0.19381443298969073,0.3884297520661157,0.12912087912087913,0.49801367697051147,"[[482  74]
 [317  47]]",0.0903791908812304
26,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.12157933663310007,0.16198752228163993,0.09201418520414933,0.08569424964936886,0.09361207897793261,0.5347826086956522,0.18631178707224336,0.3356164383561644,0.12894736842105264,0.47465886939571156,"[[443  97]
 [331  49]]",0.12923324678924844
27,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,-0.08737665354461893,-0.05602204145893466,0.0562217070721015,-0.1101839532596749,0.05720823798627006,0.5554347826086956,0.26306306306306304,0.4451219512195122,0.1867007672634271,0.5073390414767041,"[[438  91]
 [318  73]]",0.08052928223932307
28,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,0.03923133945372642,0.007757547688656025,-0.014217559065594743,0.06375509435484956,-0.15356820234869012,0.5956521739130435,0.2677165354330709,0.5,0.1827956989247312,0.5293540538419277,"[[480  68]
 [304  68]]",0.09699294821061234
29,ACSIncome_26000,SEX,PINCP,l-diversity,2,50,-0.08793312608992343,-0.04870060137457047,0.07072181363257268,-0.11616732617297909,0.04993564993564997,0.5532608695652174,0.27256637168141595,0.4301675977653631,0.19948186528497408,0.504235314664959,"[[432 102]
 [309  77]]",0.37102129373615317
30,ACSIncome_26000,SEX,PINCP,l-diversity,2,10,-0.14675421056860993,-0.11341597099249517,0.021999423306909405,-0.16933638443935928,0.22103658536585363,0.5630434782608695,0.15546218487394958,0.37755102040816324,0.09788359788359788,0.49266873621117163,"[[481  61]
 [341  37]]",0.06440983749397372
31,ACSIncome_26000,SEX,PINCP,l-diversity,2,20,0.001342561077074339,-0.0006846429323783543,0.03121927236971489,0.0007142857142857229,-0.04584221748400852,0.5402173913043479,0.19734345351043645,0.3795620437956204,0.13333333333333333,0.48647798742138365,"[[445  85]
 [338  52]]",0.12785026704184232
32,ACSIncome_26000,SEX,PINCP,l-diversity,2,30,-0.06447808886183812,-0.06396182781534498,0.031192939744369985,-0.06694191686375117,-0.04058823529411765,0.5380434782608695,0.23423423423423423,0.35135135135135137,0.17567567567567569,0.47874692874692876,"[[430 120]
 [305  65]]",0.17430766096543918
33,ACSIncome_26000,SEX,PINCP,l-diversity,2,40,0.047836983763757224,0.08135256358606613,0.03715811267298674,0.024278141213625093,0.05987394957983194,0.5641304347826087,0.23908918406072105,0.44680851063829785,0.16321243523316062,0.5085725097514118,"[[456  78]
 [323  63]]",0.05697197864111667
