SEED,dataset,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF
1,ACSIncome_10000,SEX,PINCP,k-anonymity,1,1,-0.04089887640449441,-0.04276001071551583,-0.029308101714961565,-0.034231200897867575,-0.05475942331075212,0.5489130434782609,0.6443873179091688,0.6194398682042833,0.6714285714285714,0.5148809523809523,"[[129 231]
 [184 376]]",6.153409912359971
1,ACSIncome_10000,SEX,PINCP,k-anonymity,2,2,0.025617977528089808,0.061550433085430734,0.027699586043761104,-0.03142536475869806,-0.021631749276102896,0.5423913043478261,0.652353426919901,0.6067588325652842,0.7053571428571429,0.4971230158730159,"[[104 256]
 [165 395]]",0.31481739341348797
1,ACSIncome_10000,SEX,PINCP,k-anonymity,3,3,0.02443524541691311,0.049176563636131654,0.004376108811354196,-0.013468013468013407,-0.03400123723161885,0.566304347826087,0.6904577191621412,0.6104252400548696,0.7946428571428571,0.5028769841269841,"[[ 76 284]
 [115 445]]",0.2505927214201559
1,ACSIncome_10000,SEX,PINCP,k-anonymity,4,4,0.04648137196924895,0.06707402635506632,0.003950325251330655,0.017396184062850817,-0.03789152024446141,0.5728260869565217,0.6941634241245136,0.6151724137931035,0.7964285714285714,0.5107142857142857,"[[ 81 279]
 [114 446]]",0.23857800792506179
1,ACSIncome_10000,SEX,PINCP,k-anonymity,5,5,0.040307510348906006,0.06346391805181717,0.005913660555884159,0.008417508417508324,-0.03611827282651614,0.5760869565217391,0.6953125,0.6180555555555556,0.7946428571428571,0.5153769841269841,"[[ 85 275]
 [115 445]]",0.23677788864889857
1,ACSIncome_10000,SEX,PINCP,k-anonymity,6,6,0.04548787699586043,0.08159099896671806,0.02150206978119462,-0.009539842873176219,-0.025870434629183037,0.5706521739130435,0.6959199384141648,0.6116373477672531,0.8071428571428572,0.5049603174603174,"[[ 73 287]
 [108 452]]",0.21418106822709576
1,ACSIncome_10000,SEX,PINCP,k-anonymity,7,7,-0.0646717918391484,-0.05123037083338644,-0.04451803666469545,-0.07968574635241299,-0.044135884489325816,0.6152173913043478,0.7489361702127659,0.6211764705882353,0.9428571428571428,0.5242063492063492,"[[ 38 322]
 [ 32 528]]",0.08204556730936687
1,ACSIncome_10000,SEX,PINCP,k-anonymity,8,8,-0.07491425192193968,-0.054993557933946446,-0.03791839148432874,-0.09988776655443321,-0.03959096873444634,0.6141304347826086,0.7466095645967167,0.6218787158145065,0.9339285714285714,0.5252976190476191,"[[ 42 318]
 [ 37 523]]",0.08840959380981266
1,ACSIncome_10000,SEX,PINCP,k-anonymity,9,9,-0.0693081017149616,-0.04393361482823288,-0.031744529863985904,-0.10213243546576878,-0.036319758672699876,0.6195652173913043,0.7524752475247525,0.6229508196721312,0.95,0.5277777777777778,"[[ 38 322]
 [ 28 532]]",0.07877903661856359
1,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,-0.05906564163217032,-0.033103289918485546,-0.029355410999408638,-0.09427609427609418,-0.03619919223167478,0.616304347826087,0.7519325368938862,0.6199304750869061,0.9553571428571429,0.5221230158730159,"[[ 32 328]
 [ 25 535]]",0.06846397761571657
1,ACSIncome_10000,SEX,PINCP,k-anonymity,25,25,-0.002199881726788977,0.0023089385261062523,-0.041561206386753424,-0.006734006734006703,-0.05025829137002946,0.6032608695652174,0.7427766032417196,0.6135040745052387,0.9410714285714286,0.5094246031746031,"[[ 28 332]
 [ 33 527]]",0.04650417756086835
1,ACSIncome_10000,SEX,PINCP,k-anonymity,50,50,0.02921348314606742,0.03180212014134276,-0.041561206386753424,0.024691358024691357,-0.0511013645224172,0.6032608695652174,0.7511929107021131,0.607497243660419,0.9839285714285714,0.4975198412698412,"[[  4 356]
 [  9 551]]",0.011537188654753365
1,ACSIncome_10000,SEX,PINCP,k-anonymity,75,75,0.0,0.0,-0.05279716144293323,0.0,-0.05279716144293323,0.6086956521739131,0.7567567567567568,0.6086956521739131,1.0,0.5,"[[  0 360]
 [  0 560]]",0.0
1,ACSIncome_10000,SEX,PINCP,k-anonymity,100,100,0.0,0.0,-0.05279716144293323,0.0,-0.05279716144293323,0.6086956521739131,0.7567567567567568,0.6086956521739131,1.0,0.5,"[[  0 360]
 [  0 560]]",0.0
2,ACSIncome_10000,SEX,PINCP,k-anonymity,1,1,-0.03434378833012097,-0.044097659199597294,-0.060428397558238034,-0.010115747495379801,-0.10053941088423846,0.5652173913043478,0.6710526315789473,0.6257668711656442,0.723404255319149,0.5190054984460913,"[[112 244]
 [156 408]]",5.857395536282774
2,ACSIncome_10000,SEX,PINCP,k-anonymity,2,2,0.0804180735843606,0.08570349861565574,-0.011001188677726259,0.0615374639302273,-0.08266324175415085,0.525,0.642681929681112,0.5963581183611533,0.6968085106382979,0.4748087497011714,"[[ 90 266]
 [171 393]]",0.27100681598209964
2,ACSIncome_10000,SEX,PINCP,k-anonymity,3,3,0.020974715735535776,0.016310093128618197,-0.05319688007615109,0.02447881204811464,-0.09366925064599474,0.5576086956521739,0.6857142857142857,0.6073871409028728,0.7872340425531915,0.4905271336361463,"[[ 69 287]
 [120 444]]",0.21600420450334012
2,ACSIncome_10000,SEX,PINCP,k-anonymity,4,4,0.026922840134685266,0.015101938082053956,-0.056758177487106876,0.03978212236163803,-0.09882168106834255,0.5489130434782609,0.6755277560594214,0.6041958041958042,0.7659574468085106,0.48550681329189577,"[[ 73 283]
 [132 432]]",0.23350255553794627
2,ACSIncome_10000,SEX,PINCP,k-anonymity,5,5,0.07750557636662425,0.06010571356657435,-0.059831690811189664,0.10070356320721074,-0.10256628626582642,0.558695652173913,0.6919575113808801,0.6047745358090185,0.8085106382978723,0.4857159933062395,"[[ 58 298]
 [108 456]]",0.19636077038325245
